Date	Product	Category	Price	Quantity Sold	Total Sales
2025-05-21	Mobile	Electronics	22000	1	22000
2025-03-13	Keyboard	Accessories	1200	4	4800
2025-10-30	Mobile	Electronics	22000	2	44000
2025-01-16	Shoes	Fashion	2500	1	2500
2025-04-30	Mobile	Electronics	22000	4	88000
2025-10-15	Watch	Fashion	1800	1	1800
2025-04-23	Keyboard	Accessories	1200	7	8400
2025-01-04	T-Shirt	Fashion	800	5	4000
2025-06-24	Headphones	Electronics	1800	7	12600
2025-04-21	Mouse	Accessories	700	3	2100
2025-02-17	Backpack	Bags	1500	2	3000
2025-07-03	Shoes	Fashion	2500	2	5000
2025-01-23	Backpack	Bags	1500	5	7500
2025-07-13	T-Shirt	Fashion	800	2	1600
2025-11-18	Mobile	Electronics	22000	5	110000
2025-10-23	Water Bottle	Home	500	6	3000
2025-01-24	Keyboard	Accessories	1200	2	2400
2025-02-10	Keyboard	Accessories	1200	5	6000
2025-07-14	Keyboard	Accessories	1200	2	2400
2025-11-22	Mouse	Accessories	700	8	5600
2025-07-09	Backpack	Bags	1500	3	4500
2025-12-10	Backpack	Bags	1500	4	6000
2025-11-08	Mouse	Accessories	700	2	1400
2025-03-25	Headphones	Electronics	1800	4	7200
2025-05-19	T-Shirt	Fashion	800	7	5600
2025-12-17	Watch	Fashion	1800	4	7200
2025-04-28	Backpack	Bags	1500	1	1500
2025-07-25	Laptop	Electronics	55000	6	330000
2025-04-19	Mouse	Accessories	700	2	1400
2025-04-19	Water Bottle	Home	500	6	3000
2025-11-26	T-Shirt	Fashion	800	7	5600
2025-05-16	T-Shirt	Fashion	800	3	2400
2025-10-15	Headphones	Electronics	1800	4	7200
2025-10-27	Watch	Fashion	1800	5	9000
2025-07-05	Shoes	Fashion	2500	7	17500
2025-09-18	Keyboard	Accessories	1200	3	3600
2025-01-25	T-Shirt	Fashion	800	2	1600
2025-11-18	Mobile	Electronics	22000	3	66000
2025-11-02	Headphones	Electronics	1800	7	12600
2025-07-15	Mobile	Electronics	22000	7	154000
2025-09-28	Water Bottle	Home	500	8	4000
2025-12-15	Mouse	Accessories	700	1	700
2025-11-25	Mobile	Electronics	22000	5	110000
2025-05-31	Backpack	Bags	1500	2	3000
2025-08-21	Shoes	Fashion	2500	3	7500
2025-09-14	Laptop	Electronics	55000	5	275000
2025-11-17	Headphones	Electronics	1800	2	3600
2025-03-20	Mouse	Accessories	700	4	2800
2025-10-04	Backpack	Bags	1500	3	4500
2025-11-03	Watch	Fashion	1800	1	1800
2025-01-10	Backpack	Bags	1500	8	12000
2025-06-07	Mobile	Electronics	22000	6	132000
2025-05-04	Keyboard	Accessories	1200	1	1200
2025-02-13	Water Bottle	Home	500	2	1000
2025-09-30	T-Shirt	Fashion	800	2	1600
2025-12-04	Headphones	Electronics	1800	3	5400
2025-05-16	T-Shirt	Fashion	800	3	2400
2025-04-19	Watch	Fashion	1800	7	12600
2025-06-09	Watch	Fashion	1800	4	7200
2025-08-13	Shoes	Fashion	2500	6	15000
2025-03-03	Watch	Fashion	1800	8	14400
2025-02-02	Keyboard	Accessories	1200	4	4800
2025-10-29	Backpack	Bags	1500	1	1500
2025-10-29	Watch	Fashion	1800	4	7200
2025-02-06	Keyboard	Accessories	1200	1	1200
2025-02-04	Laptop	Electronics	55000	4	220000
2025-02-06	Laptop	Electronics	55000	6	330000
2025-05-23	Watch	Fashion	1800	4	7200
2025-10-04	T-Shirt	Fashion	800	4	3200
2025-05-05	Headphones	Electronics	1800	8	14400
2025-04-08	T-Shirt	Fashion	800	7	5600
2025-12-04	Mobile	Electronics	22000	2	44000
2025-08-05	Shoes	Fashion	2500	6	15000
2025-01-28	Shoes	Fashion	2500	8	20000
2025-07-26	Mobile	Electronics	22000	1	22000
2025-05-08	Backpack	Bags	1500	2	3000
2025-10-02	Keyboard	Accessories	1200	4	4800
2025-08-05	T-Shirt	Fashion	800	3	2400
2025-08-25	Headphones	Electronics	1800	5	9000
2025-08-15	Keyboard	Accessories	1200	2	2400
2025-01-26	Watch	Fashion	1800	2	3600
2025-02-17	Watch	Fashion	1800	1	1800
2025-07-28	Keyboard	Accessories	1200	3	3600
2025-04-20	T-Shirt	Fashion	800	8	6400
2025-03-26	Shoes	Fashion	2500	1	2500
2025-07-19	Shoes	Fashion	2500	1	2500
2025-05-27	Mouse	Accessories	700	8	5600
2025-03-21	Shoes	Fashion	2500	8	20000
2025-04-22	Keyboard	Accessories	1200	5	6000
2025-06-10	Laptop	Electronics	55000	1	55000
2025-10-27	Laptop	Electronics	55000	1	55000
2025-01-30	T-Shirt	Fashion	800	3	2400
2025-04-06	Watch	Fashion	1800	2	3600
2025-12-12	Mobile	Electronics	22000	2	44000
2025-03-03	Keyboard	Accessories	1200	7	8400
2025-10-24	Water Bottle	Home	500	4	2000
2025-11-14	Water Bottle	Home	500	1	500
